word,n,ngram_length,count,text_count
and yes henry killed him,2,5,1,2
and you are henry sutpen,2,5,1,2
and you have been here four years and you,2,9,1,2
and you said it,2,4,1,2
and your grandfather never,2,4,1,2
any more of it,2,4,1,2
any more than he,2,4,1,2
anyone could have looked,2,4,1,2
anywhere under the sun,3,4,1,3
aped his clothing and,2,4,1,2
are doomed to live,2,4,1,2
are not one in a thousand,2,6,1,2
are you going to,2,4,1,2
arm and said dont,2,4,1,2
arm in a sling and,2,5,1,2
arms and legs and,3,4,1,3
around the corner of the,2,5,1,2
as a child i,2,4,1,3
as a matter of,2,4,1,2
as far as he,2,4,1,2
as he had known,2,4,1,2
as he knew that,2,4,1,2
as he named them all the,2,6,1,2
as he remembered it,2,4,1,2
as he saw the,2,4,1,2
as he told grandfather,2,4,1,2
as he would have used,2,5,1,2
as i told you,2,4,1,2
as if he already was,2,5,1,2
as if he had had to,2,6,1,2
as if he had not,2,5,1,2
as if he were trying to,2,6,1,2
as if it had,3,4,1,3
as if it were,2,4,1,2
as if she had been,2,5,1,2
as if she had never,2,5,1,2
as if there were,2,4,1,2
as if they had been,2,5,1,2
as judith and clytie,3,4,1,3
as long as he,2,4,1,2
as miss coldfield told quentin,2,5,1,2
as mr compson said,2,4,1,2
as much as a,2,4,1,2
as much as most,2,4,1,2
as soon as he finished,2,5,1,2
as soon as papa and i,2,6,1,2
as the demon himself,2,4,1,2
as the price of,2,4,1,2
as the town learned,2,4,1,2
as though he were,3,4,1,3
as though in a,2,4,1,2
as though it had,3,4,1,3
as though it were not,2,5,1,2
as to how he,2,4,1,2
as well as the,3,4,1,3
as you can see,2,4,1,2
as you might watch a,2,5,1,2
as your grandfather said,2,4,1,2
ask him why he,2,4,1,2
ask me to do,2,4,1,2
asked him if he,3,4,1,3
at a time when,3,4,1,3
at all and the,3,4,1,3
at all in fact,2,4,1,2
at first it was,3,4,1,3
at his face and,2,4,1,2
at home the same,2,4,1,2
at last and so,2,4,1,2
at last he found,2,4,1,2
at least some of,2,4,1,2
at night while he,2,4,1,2
at night with the,2,4,1,3
at one time and,2,4,1,3
at the age of,3,4,1,3
at the door and,2,4,1,2
at the end of,2,4,1,2
at the holston house,2,4,1,2
at the instant of,2,4,1,2
at the last to,2,4,1,2
at the price of,2,4,1,2
at the same time,6,4,1,6
at the supper table,2,4,1,2
at the time that,3,4,1,3
ate the food which,2,4,1,2
aunt rosa miss rosa quentin said all right,2,8,1,2
aunt rosa told you about,2,5,1,2
aware that he had,3,4,1,3
away with the regiment,2,4,1,2
back and forth across,2,4,1,2
back away from her,2,4,1,2
back to new orleans,2,4,1,2
back to the house,3,4,1,3
back to town to live,2,5,1,2
backward slow and stubborn and,2,5,1,2
balance of spiritual solvency,2,4,1,2
bare coffee colored feet,2,4,1,2
be able to use,2,4,1,2
be adjunctive to the forwarding of,2,6,1,2
be the first time,2,4,1,2
became engaged to marry,2,4,1,2
because at that time,4,4,1,4
because grandfather said he,2,4,1,2
because he did not have,2,5,1,2
because he didn't know,2,4,1,2
because he had not,4,4,1,4
because he had to,2,4,1,2
because he knew that,5,4,1,5
because he was not,3,4,1,3
because he was still,2,4,1,2
because he was too,2,4,1,2
because he would have to,2,5,1,2
because he would not,2,4,1,2
because i did not,2,4,1,2
because i never saw,2,4,1,2
because i was afraid to,2,5,1,2
because i was not,2,4,1,2
because it had been,2,4,1,2
because it was all finished now,2,6,1,2
because it was not even,2,5,1,2
because it was not the,2,5,1,2
because it would be,3,4,1,3
because it would have to,2,5,1,2
because now he was,2,4,1,2
because of that innocence which he had,2,7,1,2
because that was all,2,4,1,2
because that would be,2,4,1,2
because the lawyer would,2,4,1,2
because there was nothing,2,4,1,2
because they both knew,2,4,1,2
become engaged to him,3,4,1,3
been a bride and,3,4,1,3
been anything at all,2,4,1,2
been born and lived all his life in,2,8,1,2
been plowing and planting and,2,5,1,2
before a closed door,2,4,1,2
before he could help her,2,5,1,2
before he would have,2,4,1,2
before her as the door,2,5,1,2
before his foot was out of the stirrup he,2,9,1,2
before it could have,2,4,1,2
before the closed door,2,4,1,2
before you reached it,2,4,1,2
began to appear in jefferson,2,5,1,2
begin at once to,2,4,1,2
being a woman she,2,4,1,2
being able to say,2,4,1,2
being aware of it,2,4,1,2
being aware that he,2,4,1,2
believe it would work,2,4,1,2
beneath a flag and,2,4,1,2
between henry and bon,3,4,1,3
between henry and his father,2,5,1,2
between him and the,2,4,1,2
between oxford and sutpen's hundred,2,5,1,2
between white men and,2,4,1,2
blind romantic fool who,2,4,1,2
bon and his mother,2,4,1,2
bon home with him,2,4,1,2
bon rode on to the river,2,6,1,2
bon seems to have,2,4,1,2
bon would know what,2,4,1,2
bon would not have,2,4,1,2
bones and flesh and,2,4,1,2
book and the letter,2,4,1,2
book on the table,2,4,1,2
both more and less than,2,5,1,2
both of them were,2,4,1,2
box after beautiful box,2,4,1,1
boy of fourteen who,2,4,1,2
breathing fast and hard,2,4,1,2
brother in law the,2,4,1,2
business which he had,2,4,1,2
but at least i,2,4,1,3
but because it would,2,4,1,2
but couldn't keep him oh yes,2,6,1,2
but four of them riding the two horses through the,2,10,1,2
but he did not,3,4,1,3
but he didn't tell me,2,5,1,2
but his bare hands and,2,5,1,2
but i can shoot him,3,5,1,3
but i did not,6,4,1,6
but i had to,2,4,1,2
but i must see,2,4,1,2
but i was not,2,4,1,2
but it was not,3,4,1,3
but no need for the food,2,6,1,2
but not now now,2,4,1,2
but on the contrary,4,4,1,4
but one more son,2,4,1,2
but quentin did not,2,4,1,2
but she was not,2,4,1,2
but that he had,3,4,1,3
but that would be all,2,5,1,2
but the fact that,2,4,1,2
but the house itself,2,4,1,2
but you will have to,2,5,1,2
by all means he,2,4,1,2
by the fact that the,2,5,1,2
by the hand of,2,4,1,2
by whatever it was in,2,5,1,2
call that a marriage,2,4,1,2
came and he and henry rode the forty miles,2,9,1,2
came back to town,2,4,1,2
came back with the,2,4,1,2
came in and the,2,4,1,2
came now and then,2,4,1,2
came to the door and,2,5,1,2
came up out of,2,4,1,2
came upon him suddenly,2,4,1,2
can see the whites of,2,5,1,2
can take it out,2,4,1,2
cave under the river bank,2,5,1,2
certainly would not have,2,4,1,2
champagne on the supper table,2,5,1,2
chance to tell me,2,4,1,2
charles bon's son he,2,4,1,2
charles bon charles good,2,4,1,2
charles etienne saint valery bon,2,5,1,2
coffee colored face that,2,4,1,2
cold in the room now the,2,6,1,2
come from the south,2,4,1,2
come to terms with,2,4,1,2
come to the house,2,4,1,2
could have been called,2,4,1,2
could have given him,2,4,1,2
could look at and,2,4,1,2
could no more have,2,4,1,2
could not but be,3,4,1,3
could not have been,3,4,1,3
could not have believed,2,4,1,2
could not have helped but,2,5,1,2
could not have known,3,4,1,3
could not have said,2,4,1,2
could not have understood,2,4,1,2
could see his face,2,4,1,2
could speak no english,2,4,1,2
cubic foot for cubic foot of,2,6,1,2
cut down to fit,2,4,1,2
daughter doomed to spinsterhood,3,4,1,3
daughter who had not,2,4,1,2
day when he would,2,4,1,2
dead furnace breath of air,2,5,1,2
decided to go to the west indies and,2,8,1,2
did not believe it,2,4,1,2
did not come either and,2,5,1,2
did not dare to,2,4,1,2
did not do it,2,4,1,2
did not even know that he,2,6,1,2
did not even know that it,2,6,1,2
did not even look at,2,5,1,2
did not even require,2,4,1,2
did not even say,3,4,1,3
did not even see,2,4,1,3
did not happen to,2,4,1,2
did not have time,2,4,1,2
did not intend to,3,4,1,3
did not know it,2,4,1,2
did not know that he,2,5,1,2
did not know what,3,4,1,3
did not know yet,2,4,1,2
did not need to be,2,5,1,3
did not recognise him,2,4,1,2
did not say it,2,4,1,2
did not say one,2,4,1,2
did not see him,2,4,1,2
did not seem to,3,4,1,3
did not stop it,2,4,1,2
did not want to,3,4,1,3
did not yet know,2,4,1,2
didn't care about that too,2,5,1,2
didn't come back and the,2,5,1,2
didn't even have to,2,4,1,2
didn't even know where he,2,5,1,2
didn't even miss him,2,4,1,2
didn't know that he,2,4,1,2
didn't know what he was,2,5,1,2
didn't tell you in so many words,2,7,1,2
didn't your father say,3,4,1,3
do her any good,2,4,1,2
do it and bon,2,4,1,2
do it this way,2,4,1,2
do the office of,2,4,1,2
do you know what,2,4,1,2
does not need to,3,4,1,3
dont let her go up there young marster,2,8,1,2
doomed to be a,2,4,1,2
down at him from,2,4,1,2
down at him in,2,4,1,2
down the stairs and,2,4,1,2
drove the twelve miles,2,4,1,2
due to the fact that,2,5,1,2
during the four years,2,4,1,2
during the next four years,2,5,1,2
either thirteen or fourteen,2,4,1,2
either which of them,2,4,1,2
ellen and judith and,2,4,1,2
ellen and the aunt,3,4,1,3
ellen and the children,5,4,1,5
ellen at the absolute,2,4,1,2
emerged from the house,3,4,1,3
engaged to be married but,2,5,1,2
enough to have learned,2,4,1,2
even as a child,2,4,1,2
even been to memphis,2,4,1,2
even have to wear,2,4,1,2
even he could have,2,4,1,2
even if he had not,2,5,1,2
even if i could,2,4,1,2
even if i had,2,4,1,2
even if it had,2,4,1,2
even if judith would have,2,5,1,2
even if only from,3,4,1,3
even if she could,2,4,1,2
even if she had known,2,5,1,2
even if there had been,2,5,1,2
even it would be,2,4,1,2
even then i did not,2,5,1,2
even though he did,2,4,1,3
even though he knew that,2,5,1,2
even want to be,2,4,1,2
every now and then,2,4,1,2
every time he breathed,2,4,1,2
exactly as he would have,2,5,1,2
except it was not,2,4,1,2
expression about the eyes,2,4,1,2
face of a man,2,4,1,2
face on the pillow,2,4,1,2
face which she had,2,4,1,2
facing one another in,2,4,1,2
fact that he did not,2,5,1,2
fact that he had had to,2,6,1,2
fact that they were,2,4,1,2
fatality and curse on,2,4,1,2
fate which he had,2,4,1,2
father said his heart was,2,5,1,2
father said that even,2,4,1,2
fetch the wood and,2,4,1,2
find him or it,2,4,1,2
fine figure of a man,2,5,1,2
fine figure of the man,2,5,1,2
five years later and,3,4,1,3
flat on his back,2,4,1,2
follow the yankee troops,2,4,1,2
food and shelter and,2,4,1,2
for a day or,2,4,1,2
for a little while,3,4,1,3
for a moment and,3,4,1,3
for a whole year,2,4,1,2
for all he could,2,4,1,2
for all the two of them,2,6,1,2
for almost four years,2,4,1,2
for forty three years,5,4,1,5
for four years now,3,4,1,3
for god's sake wait,2,4,1,2
for good and all,2,4,1,2
for his bread and meat,2,5,1,2
for one moment thinking,2,4,1,2
for quentin to start,2,4,1,2
for the big wedding to support it without incongruity or paradox,2,11,1,2
for the fact that he,2,5,1,2
for the first time in,4,5,1,4
for the last time and,2,5,1,2
for the next two,2,4,1,2
for the reason that he,3,5,1,3
for the reason that she,2,5,1,2
for the sake of that,2,5,1,2
for the sake of the,4,5,1,4
for the second time,3,4,1,3
for the sole purpose of,2,5,1,2
for three months now,4,4,1,4
for three years he,2,4,1,2
for twenty six years,2,4,1,2
for whatever it was,2,4,1,2
for which she had,2,4,1,2
for you to take,2,4,1,2
forgive him for not,2,4,1,2
forty six years ago,2,4,1,2
forty three years of,3,4,1,3
found henry at last and,2,5,1,2
found out about the octoroon,2,5,1,2
found out that it was not,2,6,1,2
found out that she,3,4,1,3
found that he was,2,4,1,2
four now two again,2,4,1,2
four of them who,2,4,1,2
four times a year,2,4,1,2
four years ago and,2,4,1,2
four years and then,2,4,1,2
four years younger than judith,2,5,1,2
four years younger than the,2,5,1,2
from behind the smiling,2,4,1,2
from confederate provost marshals,2,4,1,2
from her father's store,2,4,1,2
from house to house,2,4,1,2
from me the one,2,4,1,2
from one of the,2,4,1,2
from sutpen's hundred and,2,4,1,2
from the back and,2,4,1,2
from the demijohn and the bucket of spring water which,2,10,1,2
from the house and,3,4,1,3
from the house because,2,4,1,2
from the jug and,2,4,1,2
from the room and,2,4,1,2
from the showcase the,2,4,1,2
from time to time and,2,5,1,2
from time to time to,3,5,1,3
from what he had been,2,5,1,2
front of the house and,2,5,1,2
galloped on the black thoroughbred,2,5,1,2
georgia and into carolina,2,4,1,2
get any further away,2,4,1,2
get into the house,2,4,1,2
give me a chance to,2,5,1,2
give me the hatchet wait he said,2,7,1,2
go back to town,2,4,1,2
go on yes quentin said,2,5,1,2
go out there to,2,4,1,2
go to his mother and,2,5,1,2
go to new orleans,2,4,1,2
go with her and,2,4,1,2
going to be the,3,4,1,3
going to do it,2,4,1,2
going to have to hear it all,2,7,1,2
got big enough to,2,4,1,2
got engaged and then,2,4,1,2
grandfather not knowing what,2,4,1,2
grandfather rode out to,2,4,1,2
grandfather said and he,2,4,1,2
grandfather said but not,2,4,1,2
grandfather said he did not,2,5,1,2
grandfather said that his,3,4,1,3
grandfather said there was,2,4,1,2
grandfather that he did,2,4,1,2
grave and set the other,2,5,1,2
grim tight little house,2,4,1,2
had already told bon what was in his,2,8,1,2
had attended to that and,2,5,1,2
had been born in,2,4,1,2
had been not only,3,4,1,3
had been there and,2,4,1,2
had been waiting for,2,4,1,2
had been walking backward,2,4,1,2
had entered in good faith,2,5,1,2
had even been a,3,4,1,3
had ever seen before,2,4,1,2
had fitted itself to,2,4,1,2
had gone to the,2,4,1,2
had grown up with,2,4,1,2
had known all the time that,2,6,1,2
had never even heard,2,4,1,2
had never laid eyes on one another,2,7,1,2
had never learned how,2,4,1,2
had never seen and,4,4,1,4
had never seen before,3,4,1,3
had never seen the,2,4,1,3
had no time to,2,4,1,2
had not been able to,2,5,1,2
had not been listening,2,4,1,2
had not even been,2,4,1,2
had not even seen,3,4,1,3
had not had to,2,4,1,2
had to depend on,2,4,1,2
had to do was,2,4,1,2
had to hold her,2,4,1,2
had to refuse to,2,4,1,2
had vanished into the,2,4,1,2
hadn't been out there,2,4,1,2
hand away and went on,2,5,1,2
hand on my head,2,4,1,2
hand on the other,2,4,1,2
happen not because it,2,4,1,2
have a chance to,2,4,1,2
have a fence around it,2,5,1,2
have been almost as,2,4,1,2
have been called smiling while,2,5,1,2
have been expected to do,2,5,1,2
have been in the,3,4,1,3
have been the same,2,4,1,2
have come from the,2,4,1,2
have had to go out there,2,6,1,2
have known about the,2,4,1,2
have known that sutpen,2,4,1,2
have occurred to him,2,4,1,2
have said to himself,2,4,1,2
have time to get,2,4,1,2
have to be there,2,4,1,2
have to do it,2,4,1,2
have to do this,2,4,1,2
have to find it out,2,5,1,2
have to think about,2,4,1,2
have to wait for,2,4,1,2
have told mr coldfield,2,4,1,2
have told your grandfather,2,4,1,2
having been born and,2,4,1,2
he and bon rode,2,4,1,2
he and ellen married,2,4,1,2
he and the girl,2,4,1,2
he believed he had,3,4,1,3
he brought home with him,2,5,1,2
he came in the,2,4,1,2
he came out of the,2,5,1,2
he came to the,2,4,1,3
he could almost see,2,4,1,2
he could begin to,2,4,1,2
he could even hear,3,4,1,3
he could hear her,2,4,1,2
he could hear miss,2,4,1,2
he could not even tell,2,5,1,2
he could not have borne,2,5,1,2
he could not help,2,4,1,2
he could not possibly have,2,5,1,2
he could not see her,2,5,1,2
he could smell the,2,4,1,2
he dared not ask,2,4,1,2
he did it the,2,4,1,2
he did not and that,2,5,1,2
he did not even know that,2,6,1,2
he did not give,2,4,1,2
he did not have to,2,5,1,2
he did not move,2,4,1,3
he did not remember,2,4,1,2
he did not say,3,4,1,4
he did not waste,2,4,1,2
he did not yet,2,4,1,2
he didn't care about,2,4,1,2
he didn't even care,2,4,1,2
he didn't even know,2,4,1,3
he didn't even remember,2,4,1,3
he didn't have to go,2,5,1,2
he didn't listen to,2,4,1,2
he didn't need to,2,4,1,2
he didn't remember how he got,2,6,1,2
he does not even,2,4,1,2
he found out he,2,4,1,2
he found out that,3,4,1,4
he found the half breed,2,5,1,2
he grandfather didn't know,2,4,1,2
he had and the,2,4,1,2
he had apparently come,2,4,1,2
he had been in my house,2,6,1,2
he had been so,2,4,1,2
he had been tricked by it,2,6,1,2
he had been waiting,2,4,1,3
he had believed that,2,4,1,2
he had but one,2,4,1,2
he had come from,2,4,1,2
he had corrupted ellen,2,4,1,2
he had ever had,2,4,1,2
he had ever known,2,4,1,2
he had ever seen,2,4,1,2
he had freed as soon as he,2,7,1,2
he had gone to,3,4,1,5
he had had time to,2,5,1,2
he had in mind and,2,5,1,2
he had known all the time,2,6,1,3
he had left her,2,4,1,2
he had left in,2,4,1,2
he had long since,2,4,1,2
he had never been,4,4,1,4
he had never heard of,3,5,1,3
he had never tried to,2,5,1,2
he had no more,2,4,1,2
he had not been there,2,5,1,2
he had not even,2,4,1,3
he had not expected to be,2,6,1,2
he had not once thought,2,5,1,2
he had not only,2,4,1,2
he had not yet discovered,2,5,1,2
he had seen her,2,4,1,2
he had seen it,2,4,1,2
he had seen me,2,4,1,2
he had seen through,2,4,1,2
he had to be,2,4,1,2
he had to learn,3,4,1,3
he had used to,2,4,1,2
he is your brother,2,4,1,2
he just had to,3,4,1,3
he just lay there,2,4,1,2
he just said that he,2,5,1,2
he just wanted a,2,4,1,2
he knew he had,2,4,1,2
he knew it was,2,4,1,2
he knew now that,2,4,1,2
he knew that he could,2,5,1,2
he knew that it was,2,5,1,2
he knew that she,2,4,1,3
he knew that the,4,4,1,5
he knew that what,2,4,1,2
he knew who had,2,4,1,2
he knows that i,2,4,1,2
he learned the language,2,4,1,2
he lived out there,2,4,1,2
he looked at the,4,4,1,4
he looking at her,2,4,1,2
he might even have,2,4,1,2
he might have said,2,4,1,2
he must have been,4,4,1,5
he must have known as,2,5,1,2
he must have known it,2,5,1,2
he must have known that,5,5,1,6
he must not marry her henry,2,6,1,2
he neither of them said bon,2,6,1,2
he quentin could see it,2,5,1,2
he reached home and,2,4,1,2
he realised that he,2,4,1,3
he refused to support,2,4,1,2
he remembered how he thought,5,5,1,5
he returned to the,3,4,1,3
he rode to the river,2,5,1,2
he said all right and,2,5,1,2
he said do you,2,4,1,2
he said he did not,2,5,1,2
he saw that she,2,4,1,2
he seems to have,6,4,1,7
he should have told me,2,5,1,2
he sounds just like father,2,5,1,2
he still believed that it,2,5,1,2
he stood there for a,2,5,1,2
he stopped the buggy,2,4,1,2
he sutpen probably knew what henry would do,2,8,1,2
he the demon shreve said,2,5,1,2
he the lawyer would,4,4,1,4
he thought he had,2,4,1,2
he thought of it,2,4,1,2
he told grandfather and,2,4,1,2
he told grandfather he did,2,5,1,2
he told grandfather how,2,4,1,2
he was a catholic,2,4,1,2
he was big enough to,2,5,1,2
he was born in,3,4,1,3
he was in a,2,4,1,2
he was looking at,2,4,1,2
he was not a coward,2,5,1,2
he was not afraid,4,4,1,4
he was not even,2,4,1,3
he was not present,2,4,1,2
he was not there,2,4,1,2
he was talking about,2,4,1,2
he was the biggest,2,4,1,2
he was too busy,3,4,1,3
he was wrong in being,2,5,1,2
he went away to school,2,5,1,2
he went on he,2,4,1,2
he went to bed by,2,5,1,2
he went to the west indies,2,6,1,2
he would be lying,2,4,1,2
he would do it,2,4,1,2
he would ever know,2,4,1,2
he would have been,2,4,1,3
he would have gone,2,4,1,2
he would have had the plume,2,6,1,2
he would have known,2,4,1,2
he would have to die,2,5,1,2
he would have to get,2,5,1,3
he would have to think,2,5,1,2
he would have wanted,2,4,1,2
he would look at,2,4,1,2
he would need to,2,4,1,2
he would not even,5,4,1,6
he would not have done,2,5,1,2
he would seem to,2,4,1,2
henry and bon came,2,4,1,2
henry and bon not,2,4,1,2
henry brought him home,2,4,1,2
henry didn't say you lie,2,5,1,2
henry said wait wait,2,4,1,2
henry that he bon was,2,5,1,2
henry were there now,2,4,1,2
henry who could not,2,4,1,2
henry would have to,2,4,1,2
henry would not let,2,4,1,2
henry would say but,2,4,1,2
her and he had,2,4,1,2
her and the child,2,4,1,3
her father had not,2,4,1,2
her sister's dying request,2,4,1,2
her that he was,2,4,1,2
hidden in it but,2,4,1,2
him all of it,2,4,1,2
him and fetched him,2,4,1,2
him and maybe he,2,4,1,2
him and only your grandfather to,2,6,1,2
him and then he,4,4,1,4
him and then the,2,4,1,2
him as if he,2,4,1,2
him back into the,2,4,1,2
him back to the,2,4,1,2
him body and soul,2,4,1,2
him even if he,2,4,1,2
him for the first time,2,5,1,2
him for two years,2,4,1,2
him so he knew,2,4,1,2
him sutpen without the,2,4,1,2
him to be the,2,4,1,3
him to go to the,2,5,1,2
him to the extent of,2,5,1,2
him to the house and,2,5,1,2
him well enough to,2,4,1,2
him what it was,2,4,1,2
him when he passed,2,4,1,2
him with that same,2,4,1,2
himself had not been,2,4,1,2
his clothing and speech,2,4,1,2
his conscience and the,2,4,1,3
his father had got,2,4,1,2
his father in law,4,4,1,4
his father the lie,2,4,1,2
his father was not,2,4,1,2
his father watching him,2,4,1,2
his future son in law,2,5,1,2
his hand on the,2,4,1,2
his hands lying on either side of the,2,8,1,2
his heredity and training,2,4,1,2
his home and birthright,2,4,1,2
his hundred square miles,2,4,1,2
his knees drawn up under,2,5,1,2
his leg and the,2,4,1,2
his mother and the,2,4,1,2
his name and lineage,2,4,1,2
his share of the,3,4,1,3
